Race,Sex,Age,Supervising Unit,Supervision Type,Cohort Fiscal Year,Report Fiscal Year,Supervision Start Date,Supervision End Date,Months Supervised,Supervision End Reason,Charge ID [Internal],Supervision Offense Class,Supervision Offense Type,Supervision Offense Subtype,Reincarcerated,Reincarcerated Reason,Survival Time (Days),Survival Time (Months),Reincarcerated Offense Code,Reincarcerated Offense Class,Reincarcerated Offense Type,Reincarcerated Offense Subtype,Risk Ranking
White,Male,55,Mount Pleasant Correctional Facility,Work Release,2021,2024,12/21/2020,03/16/2021,2,Parole Granted,20164289,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,58,Clarinda Correctional Facility,Prison,2021,2024,04/19/2010,09/16/2020,124,Parole Granted,692254,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,51,Mount Pleasant Correctional Facility,Work Release,2021,2024,01/04/2021,02/22/2021,1,Parole Granted,20157739,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
Hispanic,Male,51,Fort Dodge Correctional Facility,Prison,2021,2024,05/03/2019,09/01/2020,15,Paroled to Detainer - Iowa,20509744,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Moderate
Black,Male,50,Clarinda Correctional Facility,Prison,2021,2024,09/30/2019,11/09/2020,13,Parole Granted,20516310,D Felony,Drug,Drug Possession,false,,,,,,,,High
White,Male,58,Clarinda Correctional Facility,Prison,2021,2024,09/11/2017,08/25/2020,35,Paroled w/Immediate Discharge,20411968,D Felony,Drug,Drug Possession,false,,,,,,,,High
Black,Male,51,Fort Dodge Correctional Facility,Work Release,2021,2024,08/14/2020,12/04/2020,3,Parole Granted,20456612,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
White,Male,52,Newton Correctional Facility,Prison,2021,2024,07/30/2020,06/14/2021,10,Discharged - Expiration of Sentence,20565890,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,Low
White,Male,51,Mount Pleasant Correctional Facility,Prison,2021,2024,09/06/2019,09/18/2020,12,Parole Granted,20348769,C Felony,Drug,Drug Possession,false,,,,,,,,Moderate
White,Male,51,Iowa Medical & Classification Center,Prison,2021,2024,08/16/2018,12/17/2020,28,Parole Granted,692815,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,Tech,510,17.0,124.401C,Felony - Enhancement to Original Penalty,Drug,Trafficking,High
White,Male,56,Mount Pleasant Correctional Facility,Prison,2021,2024,09/09/2019,05/11/2021,20,Parole Granted,20512281,D Felony,Property,Forgery/Fraud,false,,,,,,,,High
White,Female,56,Iowa Correctional Institution for Women,Work Release,2021,2024,01/26/2021,05/27/2021,4,Parole Granted,20239054,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,868,28.9,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Moderate
White,Male,54,Iowa Medical & Classification Center,Prison,2021,2024,05/06/2019,04/14/2021,23,Discharged - Expiration of Sentence,20481750,D Felony,Violent,Assault,true,New Charge,841,28.0,708.2(3),Aggravated Misdemeanor,Violent,Assault,High
White,Male,61,Clarinda Correctional Facility,Prison,2021,2024,01/05/2018,08/03/2020,30,Parole Granted,20434009,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Male,50,Newton Correctional Facility,Prison,2021,2024,10/29/2018,09/12/2020,22,Discharged - Expiration of Sentence,20406215,Aggravated Misdemeanor,Public Order,Other Public Order,true,New Charge,55,1.8,710.10(3),D Felony,Violent,Kidnap,
White,Male,51,Mount Pleasant Correctional Facility,Work Release,2021,2024,03/18/2021,06/07/2021,2,Parole Granted,20456159,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,353,11.8,124.401(1)(b)(7),B Felony,Drug,Trafficking,Low
Black,Male,50,Mount Pleasant Correctional Facility,Work Release,2021,2024,12/15/2020,03/03/2021,2,Parole Granted,20030044,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,184,6.1,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Moderate
American Indian or Alaska Native,Male,50,North Central Correctional Facility,Work Release,2021,2024,02/25/2021,04/19/2021,1,Parole Granted,20021698,B Felony,Drug,Trafficking,true,Tech,900,30.0,124.401(1)(b)(7),B Felony,Drug,Trafficking,High
White,Male,50,Clarinda Correctional Facility,Work Release,2021,2024,01/13/2020,07/01/2020,5,Parole Granted,20191508,C Felony,Violent,Robbery,false,,,,,,,,High
White,Male,50,Mount Pleasant Correctional Facility,Prison,2021,2024,01/21/2020,08/12/2020,6,Parole Granted,20542061,D Felony,Drug,Drug Possession,true,Tech,758,25.3,124.401(5)(c),D Felony,Drug,Drug Possession,Low
White,Male,54,Mount Pleasant Correctional Facility,Prison,2021,2024,01/27/2020,02/11/2021,12,Parole Granted,20543352,D Felony,Public Order,Weapons,false,,,,,,,,High
White,Male,53,Mount Pleasant Correctional Facility,Work Release,2021,2024,09/11/2020,11/19/2020,2,Parole Granted,20505577,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,56,North Central Correctional Facility,Prison,2021,2024,09/28/2017,03/04/2021,41,Parole Granted,20420608,D Felony,Violent,Assault,true,Tech,110,3.7,708.2A(4),D Felony,Violent,Assault,High
Black,Male,56,Mount Pleasant Correctional Facility,Work Release,2021,2024,03/20/2020,10/08/2020,6,Parole Granted,20509597,D Felony,Public Order,Other Public Order,true,Tech,228,7.6,692A.111-B,D Felony,Public Order,Other Public Order,Low
Black,Male,64,Clarinda Correctional Facility,Prison,2021,2024,03/29/2019,07/29/2020,16,Paroled to Detainer - Out of State,20479770,D Felony,Public Order,Other Public Order,false,,,,,,,,High
White,Male,59,Mount Pleasant Correctional Facility,Prison,2021,2024,10/27/2020,05/28/2021,7,Paroled w/Immediate Discharge,20525647,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
Black,Male,55,North Central Correctional Facility,Prison,2021,2024,08/18/2020,06/02/2021,9,Parole Granted,20258116,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,705,23.5,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
White,Male,54,Mount Pleasant Correctional Facility,Prison,2021,2024,06/11/2020,04/06/2021,9,Parole Granted,20221178,D Felony,Public Order,Weapons,true,New Charge,485,16.2,724.26,D Felony,Public Order,Weapons,Low
White,Male,60,Newton Correctional Facility,Work Release,2021,2024,03/18/2021,06/14/2021,2,Parole Granted,20529254,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Moderate
White,Male,50,Newton Correctional Facility,Work Release,2021,2024,10/16/2020,12/24/2020,2,Parole Granted,20364534,C Felony,Drug,Trafficking,true,Tech,92,3.1,124.401(5)(c),D Felony,Drug,Drug Possession,Low
White,Male,53,Mount Pleasant Correctional Facility,Prison,2021,2024,10/19/2020,04/19/2021,6,Parole Granted,20572697,Aggravated Misdemeanor,Property,Theft,true,Tech,105,3.5,714.2(3),Aggravated Misdemeanor,Property,Theft,High
White,Male,67,Newton Correctional Facility,Prison,2021,2024,12/11/2019,01/27/2021,13,Parole Granted,20442585,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,51,Iowa Medical & Classification Center,Work Release,2021,2024,07/20/2020,12/18/2020,4,Paroled w/Immediate Discharge,20454215,D Felony,Property,Theft,true,New Charge,468,15.6,124.401(1)(b)(7),B Felony,Drug,Trafficking,High
Black,Male,58,Iowa Medical & Classification Center,Prison,2021,2024,09/08/2019,01/11/2021,16,Parole Granted,20525742,Aggravated Misdemeanor,Property,Theft,true,New Charge,766,25.5,124.401(5)(c),D Felony,Drug,Drug Possession,Moderate
White,Male,49,Mount Pleasant Correctional Facility,Prison,2021,2024,08/27/2019,01/04/2021,16,Discharged - Expiration of Sentence,20543624,Aggravated Misdemeanor,Property,Theft,false,,,,,,,,Moderate
White,Male,72,Newton Correctional Facility,Prison,2021,2024,02/28/2003,08/31/2020,210,Discharged - Expiration of Sentence,595241,C Felony,Violent,Sex,false,,,,,,,,
Black,Male,57,Iowa Medical & Classification Center,Prison,2021,2024,12/30/2019,09/17/2020,8,Parole Granted,20541663,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,55,Mount Pleasant Correctional Facility,Work Release,2021,2024,07/30/2020,04/21/2021,8,Parole Granted,20519016,D Felony,Property,Burglary,false,,,,,,,,High
Black,Male,53,Mount Pleasant Correctional Facility,Prison,2021,2024,02/27/2019,08/13/2020,17,Released to Special Sentence,20502056,D Felony,Other,Other Criminal,true,New Charge,719,24.0,124.401(5)(c),D Felony,Drug,Drug Possession,High
White,Male,56,North Central Correctional Facility,Work Release,2021,2024,11/10/2020,02/15/2021,3,Parole Granted,20277136,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,50,Iowa Medical & Classification Center,Prison,2021,2024,09/17/2020,10/05/2020,0,Discharged - Expiration of Sentence,20329888,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,49,North Central Correctional Facility,Work Release,2021,2024,12/31/2020,05/12/2021,4,Parole Granted,20219801,C Felony,Property,Burglary,false,,,,,,,,High
White,Male,49,Mount Pleasant Correctional Facility,Work Release,2021,2024,01/14/2021,04/07/2021,2,Parole Granted,20242273,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,849,28.3,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
Black,Male,49,Newton Correctional Facility,Prison,2021,2024,03/03/2020,08/04/2020,5,Discharged - Expiration of Sentence,20358576,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,58,North Central Correctional Facility,Prison,2021,2024,06/17/2020,05/04/2021,10,Parole Granted,20559198,D Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,50,Fort Dodge Correctional Facility,Work Release,2021,2024,02/17/2021,06/07/2021,3,Parole Granted,20540359,D Felony,Drug,Drug Possession,false,,,,,,,,High
White,Male,51,Newton Correctional Facility,Prison,2021,2024,09/25/2019,09/29/2020,12,Parole Granted,910364,B Felony,Other,Other Criminal,true,New Charge,903,30.1,710.10(4),Aggravated Misdemeanor,Violent,Kidnap,High
White,Male,49,Iowa Medical & Classification Center,Prison,2021,2024,02/03/2021,03/25/2021,1,Discharged - Expiration of Sentence,20175630,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,51,Mount Pleasant Correctional Facility,Prison,2021,2024,11/22/2019,11/12/2020,11,Parole Granted,20067935,B Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,53,Fort Dodge Correctional Facility,Prison,2021,2024,04/29/2019,07/03/2020,14,Discharged - Expiration of Sentence,253615,B Felony,Violent,Murder/Manslaughter,false,,,,,,,,Moderate
White,Female,58,Iowa Correctional Institution for Women,Prison,2021,2024,11/19/2018,09/16/2020,21,Parole Granted,20441677,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Female,55,Iowa Correctional Institution for Women,Work Release,2021,2024,07/27/2020,12/17/2020,4,Parole Granted,20299451,D Felony,Property,Forgery/Fraud,false,,,,,,,,Moderate
White,Male,57,North Central Correctional Facility,Prison,2021,2024,09/03/2019,10/05/2020,13,Parole Granted,20350369,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,59,Newton Correctional Facility,Prison,2021,2024,03/06/2020,08/17/2020,5,Paroled w/Immediate Discharge,20446885,D Felony,Property,Theft,true,New Charge,655,21.8,710.8,Aggravated Misdemeanor,Violent,Kidnap,Low
White,Male,58,Mount Pleasant Correctional Facility,Prison,2021,2024,12/16/2019,03/29/2021,15,Parole Granted,20540492,C Felony,Drug,Trafficking,true,Tech,206,6.9,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
White,Male,61,Clarinda Correctional Facility,Prison,2021,2024,11/08/2018,11/02/2020,23,Parole Granted,20463923,C Felony,Violent,Assault,true,Tech,619,20.6,708.4(1),C Felony,Violent,Assault,Low
Black,Male,59,Iowa Medical & Classification Center,Prison,2021,2024,11/06/2020,12/26/2020,1,Discharged - Expiration of Sentence,20548271,Aggravated Misdemeanor,Public Order,Traffic,true,New Charge,972,32.4,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Moderate
White,Male,57,Newton Correctional Facility,Work Release,2021,2024,09/25/2020,12/29/2020,3,Parole Granted,20145805,B Felony,Drug,Trafficking,false,,,,,,,,Low
Black,Male,57,Newton Correctional Facility,Prison,2021,2024,01/30/2020,09/14/2020,7,Parole Granted,20543701,D Felony,Public Order,Weapons,false,,,,,,,,High
White,Male,58,Clarinda Correctional Facility,Prison,2021,2024,07/11/2019,06/24/2021,23,Parole Granted,20419191,C Felony,Property,Theft,true,New Charge,169,5.6,714.2(1),C Felony,Property,Theft,High
White,Male,55,Fort Dodge Correctional Facility,Prison,2021,2024,11/26/2019,07/21/2020,7,Paroled to Detainer - Iowa,20471252,D Felony,Drug,Drug Possession,false,,,,,,,,High
Black,Male,56,Iowa Medical & Classification Center,Work Release,2021,2024,01/27/2021,06/07/2021,4,Parole Granted,20468030,C Felony,Property,Burglary,true,Tech,135,4.5,713.5,C Felony,Property,Burglary,High
American Indian or Alaska Native,Male,59,Fort Dodge Correctional Facility,Work Release,2021,2024,08/30/2020,02/08/2021,5,Parole Granted,20364436,C Felony,Property,Burglary,false,,,,,,,,Moderate
Black,Male,57,Newton Correctional Facility,Prison,2021,2024,02/18/2020,07/15/2020,4,Parole Granted,20516358,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,62,Newton Correctional Facility,Prison,2021,2024,02/05/2018,09/16/2020,31,Parole Granted,20434679,C Felony,Violent,Sex,false,,,,,,,,
White,Male,57,Iowa Medical & Classification Center,Prison,2021,2024,03/18/2021,05/04/2021,1,Discharged - Expiration of Sentence,20452273,D Felony,Property,Theft,false,,,,,,,,High
White,Male,56,Newton Correctional Facility,Prison,2021,2024,01/06/2020,10/16/2020,9,Discharged - Expiration of Sentence,20534012,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,Low
White,Male,55,Mount Pleasant Correctional Facility,Prison,2021,2024,01/31/2020,01/12/2021,11,Discharged - Expiration of Sentence,20440164,D Felony,Public Order,OWI,true,New Charge,686,22.9,321.279(3)(a),D Felony,Public Order,Traffic,High
White,Male,58,Iowa Medical & Classification Center,Prison,2021,2024,10/16/2019,03/12/2021,16,Parole Granted,20373351,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Moderate
White,Male,56,Mount Pleasant Correctional Facility,Prison,2021,2024,03/31/2020,12/07/2020,8,Parole Granted,20443686,D Felony,Drug,Drug Possession,true,Tech,562,18.7,124.401(5)(c),D Felony,Drug,Drug Possession,Low
White,Male,56,Mount Pleasant Correctional Facility,Work Release,2021,2024,08/13/2020,11/05/2020,2,Parole Granted,20381579,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,54,Anamosa State Penitentiary,Prison,2021,2024,02/02/2018,07/24/2020,29,Parole Granted,20442724,D Felony,Property,Burglary,true,New Charge,396,13.2,713.6A,D Felony,Property,Burglary,High
White,Male,55,Clarinda Correctional Facility,Prison,2021,2024,09/03/2019,05/06/2021,20,Parole Granted,20403422,D Felony,Property,Burglary,false,,,,,,,,High
Black,Male,61,North Central Correctional Facility,Prison,2021,2024,10/30/2019,08/13/2020,9,Discharged - Expiration of Sentence,20475108,Aggravated Misdemeanor,Violent,Assault,true,New Charge,452,15.1,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,57,Newton Correctional Facility,Prison,2021,2024,02/06/2020,12/11/2020,10,Paroled w/Immediate Discharge,20544631,Aggravated Misdemeanor,Property,Theft,false,,,,,,,,High
White,Male,60,Newton Correctional Facility,Work Release,2021,2024,05/27/2020,09/18/2020,3,Parole Granted,20487707,D Felony,Public Order,Other Public Order,true,New Charge,598,19.9,692A.104-B,D Felony,Public Order,Other Public Order,Moderate
White,Male,59,North Central Correctional Facility,Work Release,2021,2024,11/24/2020,02/22/2021,2,Parole Granted,704710,A Felony,Violent,Murder/Manslaughter,false,,,,,,,,Low
White,Male,60,North Central Correctional Facility,Work Release,2021,2024,03/04/2020,10/20/2020,7,Parole Granted,273967,B Felony,Violent,Kidnap,false,,,,,,,,High
White,Male,56,Mount Pleasant Correctional Facility,Work Release,2021,2024,09/30/2020,12/29/2020,2,Parole Granted,20253096,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,437,14.6,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Moderate
Black,Male,54,Iowa Medical & Classification Center,Prison,2021,2024,12/09/2013,05/28/2021,89,Parole Granted,275236,B Felony,Violent,Robbery,true,Tech,817,27.2,707.2,A Felony,Violent,Murder/Manslaughter,High
White,Male,54,Iowa Medical & Classification Center,Prison,2021,2024,04/29/2019,10/27/2020,17,Parole Granted,20507812,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,189,6.3,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,56,Newton Correctional Facility,Prison,2021,2024,08/29/2018,06/11/2021,33,Released to Special Sentence,20473594,D Felony,Violent,Sex,true,New Charge,133,4.4,908.5(2)A,Aggravated Misdemeanor,Other,Other Criminal,
Black,Male,55,Iowa Medical & Classification Center,Work Release,2021,2024,03/19/2021,06/07/2021,2,Parole Granted,20314624,C Felony,Violent,Robbery,true,New Charge,1061,35.4,708.11(3)(b)(1),D Felony,Violent,Assault,High
White,Male,55,Clarinda Correctional Facility,Work Release,2021,2024,06/12/2020,09/11/2020,2,Parole Granted,20433212,Aggravated Misdemeanor,Drug,Drug Possession,true,Tech,258,8.6,124.401(5)(c),D Felony,Drug,Drug Possession,Low
Black,Male,56,Fort Dodge Correctional Facility,Prison,2021,2024,12/02/1999,05/15/2021,257,Discharged - Expiration of Sentence,706534,B Felony,Violent,Sex,false,,,,,,,,
White,Male,57,Iowa State Penitentiary,Work Release,2021,2024,06/29/2020,11/04/2020,4,Parole Granted,20436217,D Felony,Drug,Drug Possession,false,,,,,,,,Moderate
Black,Male,53,Mount Pleasant Correctional Facility,Work Release,2021,2024,04/13/2020,07/15/2020,3,Parole Granted,20494132,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,60,Iowa Medical & Classification Center,Prison,2021,2024,03/19/2019,09/18/2020,17,Parole Granted,20428847,D Felony,Property,Vandalism,false,,,,,,,,High
White,Male,54,Mount Pleasant Correctional Facility,Prison,2021,2024,06/03/2019,07/01/2020,12,Parole Granted,20173813,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,High
White,Male,55,North Central Correctional Facility,Prison,2021,2024,03/12/2020,04/24/2021,13,Discharged - Expiration of Sentence,20239018,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
American Indian or Alaska Native,Male,55,Iowa Medical & Classification Center,Work Release,2021,2024,10/22/2020,12/17/2020,1,Parole Granted,20536648,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,New Charge,230,7.7,124.401(1)(b)(7),B Felony,Drug,Trafficking,High
White,Male,59,Mount Pleasant Correctional Facility,Prison,2021,2024,02/03/2020,10/12/2020,8,Parole Granted,20418109,D Felony,Property,Theft,true,Tech,340,11.3,714.2(2),D Felony,Property,Theft,High
White,Male,55,Newton Correctional Facility,Prison,2021,2024,07/13/2020,05/10/2021,9,Parole Granted,20527746,D Felony,Public Order,Other Public Order,false,,,,,,,,Moderate
White,Male,55,Newton Correctional Facility,Work Release,2021,2024,10/26/2020,02/24/2021,3,Parole Granted,20078780,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,High
White,Male,54,Mount Pleasant Correctional Facility,Prison,2021,2024,03/03/2020,09/30/2020,6,Discharged - Expiration of Sentence,20444529,D Felony,Public Order,Other Public Order,false,,,,,,,,Low
